index_date;fertilizer_sales
2016-01-01;2512150.99830585
2016-02-01;2871596.38465682
2016-03-01;2760624.52272361
2016-04-01;2755826.00075209
2016-05-01;2733596.06247558
2016-06-01;2849634.53879714
2016-07-01;2707929.62126159
2016-08-01;2818383.72206028
2016-09-01;2767046.65322679
2016-10-01;2660148.00416163
2016-11-01;3001736.06977649
2016-12-01;3235265.03763391
2017-01-01;3010130.10242419
2017-02-01;2752411.34498829
2017-03-01;2866497.42577823
2017-04-01;2608184.43565954
2017-05-01;2873515.86757459
2017-06-01;2730123.66974904
2017-07-01;2659773.71899177
2017-08-01;2911847.24043171
2017-09-01;3016684.73028445
2017-10-01;3019615.30324277
2017-11-01;3069898.7430306
2017-12-01;2904695.67569105
2018-01-01;2794557.42531496
2018-02-01;2848993.33365317
2018-03-01;2944321.43480018
2018-04-01;2978392.81564856
2018-05-01;2221556.71908659
2018-06-01;2809254.05667995
2018-07-01;3177296.80503462
2018-08-01;3647665.94000025
2018-09-01;3041978.15502056
2018-10-01;3098758.47027331
2018-11-01;3040945.60933201
2018-12-01;2906847.31433345
2019-01-01;3025482.07038353
2019-02-01;2966101.46524788
2019-03-01;2841071.488652
2019-04-01;2964985.53842737
2019-05-01;2876120.37412295
2019-06-01;2835124.95074054
2019-07-01;3084285.26977733
2019-08-01;3177673.29643053
2019-09-01;3036239.4142724
2019-10-01;3187353.98589594
2019-11-01;2981114.09434879
2019-12-01;3157257.31406206
2020-01-01;3355024.34343186
2020-02-01;3314875.51930904
2020-03-01;3141923.38181546
2020-04-01;3312501.16261666
2020-05-01;3569513.33203435
2020-06-01;3357442.24583396
2020-07-01;3242732.16291263
2020-08-01;3246906.22236271
2020-09-01;3447059.65927035
2020-10-01;3264826.62379053
2020-11-01;3513345.21544714
2020-12-01;3824918.38736294
2021-01-01;3704891.90711101
2021-02-01;3774779.78121594
2021-03-01;3853188.85323692
2021-04-01;3185668.28999024
2021-05-01;3937770.73936366
2021-06-01;4094794.80455971
2021-07-01;4102913.86471115
2021-08-01;3858579.96928699
